Station,Datensätze,Komponenten,Minimum,Maximum,Mittelwert
BGSW,7092,10,0.0,1019.0,164.18
BGVT,4931,7,0.0,1022.0,163.44
BLWW,7793,11,0.0,1029.0,148.69
BRNN,9165,13,0.0,968.0,156.74
CXSO,7765,11,0.0,1031.0,154.47
DUCC,7104,10,0.0,1009.0,156.19
ENCC,7084,10,0.0,1031.0,166.55
GNCC,7733,11,0.0,1011.0,142.11
GNVS,4812,7,0.0,1015.0,165.83
HIVU,4901,7,0.0,1020.4,164.15
HRSW,7029,10,0.0,1020.1,151.84
HRVS,4246,6,0.6,1024.0,191.31
JKCC,6835,10,0.0,1031.2,164.97
LGOO,7790,11,0.0,1025.0,154.81
LNCC,7754,11,0.0,1027.0,141.29
LWSO,6631,10,0.0,1029.0,169.23
NYNO,8372,12,0.0,1030.0,138.54
OGCC,7025,10,0.0,1007.0,161.67
OKCC,8456,12,0.0,1019.0,133.59
OKVT,4279,6,0.6,1023.0,190.9
OLVT,4960,7,0.0,1030.0,165.69
RNSW,7788,11,0.0,1024.0,143.52
SNNW,7783,11,0.0,997.2,186.91
SROO,8456,12,0.0,1020.0,119.55
WASS,6380,9,0.0,1027.0,157.99
WGCC,7756,11,0.0,1023.0,152.16
WGVS,4955,7,0.0,1023.0,161.86
WNCC,7084,10,0.0,1031.0,166.21
